,average_rate($),num_of_bedrooms,title_word_count,city,date_of_listing,description,title,url,Listing Month,Listing Year,Zipcode
196,425,3,3,Kyle,15-Aug,"Welcome to our cozy retreat just minutes away from Austin, San Marcos, and the Hill Country. Rather its shopping, Circuit of the Americas, SXSW we are centrally located. Situated on a golf course with a beautiful backyard oasis to enjoy your return. We do live on property so we can't take any bookings without at least 3 days notice so we can prepare for arrival.",Kyle Retreat-Swimming pool/Spa,https://www.airbnb.com/rooms/7651664?location=Buda%2C%20TX,August,2015,[78640]
218,410,3,3,Austin,17-Apr,"This custom built villa with over-sized balcony located in Oak Shores on Lake Austin community and is 30 mins away from downtown Austin. This unique home on 1.07 wooded acres offers privacy, has a gated driveway, and is located close to Ski Shores Marina. With a fairy-tale ambience, you'll find dark wood finishes &amp; stained concrete flooring, a cat-walk, floor-to-ceiling fireplace with vaulted ceilings and exposed beams.",Ski Shores Villa,https://www.airbnb.com/rooms/18293433?location=Bee%20Cave%2C%20TX,April,2017,[78730]
226,160,1,9,Austin,14-Nov,"PLEASE READ EVERYTHING BEFORE BOOKING\n\nOur condo is located in a perfect spot to explore and enjoy Austin. We sit in the middle of Austin's eclectic East Austin bars, restaurants and shops and downtown Austin. Our favorite features are the floor to ceiling windows to enjoy the panoramic city views and the walkability of the location. You'll be short walk to Austin's 6th Street bars, Austin Convention Center, Rainey Street, and Lady Bird Lake.",Conveniently Located E 6th St. Condo with a View!,https://www.airbnb.com/rooms/15271035?location=Austin%2C%20TX,November,2014,[78702]
232,187,3,9,Austin,16-Aug,Large two story house close to the city. Three bedrooms and a couch that pulls out to a queen bed plus two more full couches as well as two love seats. Comfortably sleeps up to nine!,"2,300 Sq ft home only 7 miles from downtown!",https://www.airbnb.com/rooms/14848100?location=Buda%2C%20TX,August,2016,[78745]
256,79,0,8,Austin,16-Dec,"Enjoy your own private East Austin studio just 3 miles from the city center. Lounge on the shady patio with your morning coffee, or explore the nearby breweries, art galleries, and restaurants all within easy reach.",Cozy & Clean Backyard Studio in East Austin,https://www.airbnb.com/rooms/16273287?location=Austin%2C%20TX,December,2016,[78721]
258,139,2,8,Austin,17-Feb,"Newly remodeled Downtown charmer- 2 bedrooms, 1 1/2 baths, sitting room, living room, dinning room, huge front porch with downtown views- only 1 mile from downtown, big back yard with paved porch area, driveway for parking. 1400 sqft. Walking distance to awesome restaurants on 6th, liquor store, Waterloo Record Store and a bunch of other cool places along the way. Exactly 1 mile to the very middle of downtown, 6th and Congress. Close to Zilker Park for ACL. Great for business, festivals etc.",Downtown Bungalow - Newly Remodeled w Great Views,https://www.airbnb.com/rooms/17639662?location=Austin%2C%20TX,February,2017,[78703]
263,50,1,6,Buda,17-Feb,My place is 15 miles from downtown Austin and 10 miles from historic South Congress. My place offers a great opportunity to be close to all the excitement of Austin while also allowing you to have relaxing evenings.,Close to the city with relaxation,https://www.airbnb.com/rooms/17460657?location=Buda%2C%20TX,February,2017,[78610]
268,130,1,3,Austin,15-Jan,The SoCo Nook is conveniently located! \,The SoCo Nook,https://www.airbnb.com/rooms/14900580?location=Buda%2C%20TX,January,2015,[78745]
269,40,1,5,Austin,14-Jun,"Cozy private room, very close to the airport and 7 miles from downtown Austin. The room is simple but equipped with everything you would need for a comfortable stay. Double bed, two bed side tables, full closet to tuck away your belongings in. The full bath is shared with another air bnb listing. Bathroom has toiletries and hairdryer. Feel free to use our living room, dining area and kitchen. We also have a nice back patio great for soaking up sun or night drinking.","Cozy/Private Room, Minutes to Downtown!",https://www.airbnb.com/rooms/17423956?location=Austin%2C%20TX,June,2014,[78744]
279,550,1,6,Austin,14-Mar,"Super cute brand new house in east Austin. Close to bike trails to downtown Austin, and located exactly 6 miles from the capitol. An Uber home cost about 12-15$ from bars downtown (if not surging).",Brand New house in East Austin,https://www.airbnb.com/rooms/17155750?location=Bastrop%20County%2C%20TX,March,2014,[78724]
283,43,1,8,Austin,14-Feb,"South Austin, close to downtown. Walk to coffee, restaurants, and shopping. This house is old and ready for a remodel, but we keep it clean and it's a very safe, family-friendly neighborhood, while still close to much of Austin's fun.\n\nThis is a single, private room with both a queen bed and a twin-sized daybed.","Quiet family neighborhood, a block off South Lamar",https://www.airbnb.com/rooms/17408557?location=Austin%2C%20TX,February,2014,[78704]
297,97,1,4,Austin,11-Sep,"Walking distance to downtown and so many restaurants. One bedroom with a queen bed and another open room in between that has two twin beds. Lots of light, very clean, and an old Austin feel.",Genuine Chic Downtown Flat-central,https://www.airbnb.com/rooms/8267387?location=Cedar%20Park%2C%20TX,September,2011,[78701]
306,33,1,7,Austin,13-Jun,"Our place is a perfectly situated landing pad for new arrivals. We are close to almost every corner of the city, and we love giving new Austinites a warm welcome. We are totally a smoke-free home.",New Arrival Haven - comfy and close,https://www.airbnb.com/rooms/13676088?location=Austin%2C%20TX,June,2013,[78753]
311,199,1,5,Austin,12-Aug,Located one block south of the Capitol in a historical building on the corner of Congress Avenue this apartment is walkable to:\n- All of downtown\n- The University of Texas\n- Paramount Theatre\n- 6th Street\n- Lady Bird Lake,Historical Loft with Capitol View!,https://www.airbnb.com/rooms/669469?location=Brazos%20River%2C%20TX,August,2012,[78701]
319,99,0,2,Austin,16-Jun,"Private treetop retreat in West Austin, only 4 miles from downtown Austin! Parking provided and separate private entrance. 180 degree views from the balcony and freshly decorated. Quiet neighborhood. The windows face west, so watch the gorgeous sunsets we have. If you do not like stairs, this is not the place for you. The room is two flights of stairs up from the parking area.",Treetop Retreat,https://www.airbnb.com/rooms/17511653?location=Bee%20Cave%2C%20TX,June,2016,[78746]
332,83,1,5,Austin,13-Jul,"Tucked behind our house in the Zilker neighborhood in South Austin, this sunny one-bedroom, one-bathroom cottage accommodates one or two people perfectly. We've got two great bikes you're welcome to borrow any time. Austin license: 2013 OL 122394.",Private and Sunny Zilker Cottage,https://www.airbnb.com/rooms/1484462?location=Brazos%20River%2C%20TX,July,2013,[78704]
357,35,1,8,Austin,17-May,"Great, private guest room with Cable TV/DVD, closet, private bathroom, use of common areas and washer/dryer, and WiFi.\nSouthwest Austin / Safe Neighborhood. Less than 10 miles from Downtown, 7 miles from Zilker, 4 miles from Barton Creek Green Belt, and 20 mins from Airport. I do have an extra air mattress if two guests.",Cozy/Private Room in Nice Home close to Downtown,https://www.airbnb.com/rooms/18806788?location=Bee%20Cave%2C%20TX,May,2017,[78749]
365,364,2,5,Austin,13-Mar,"If you're looking for a place where you can walk to the UT Football stadium or even the Texas Capitol, but also stay in a cozy house and neighborhood, this is the place! Located downtown meaning you are close to everything and to top it off an incredible view of the Texas Capitol building from the open living and dining area.",Downtown with Stunning Capitol View,https://www.airbnb.com/rooms/5396676?location=Brazos%20River%2C%20TX,March,2013,[78702]
369,399,4,4,Austin,14-Nov,"Brand New Cozy 4BR w/Wifi &amp; Private Patio - In the Heart of ATX Between S Lamar and S Congress! Easy Access to Downtown Live Music, Funky Shops, Renowned Restaurants and Greenbelt Hiking! \nStay in a quiet home that is close to the heart of Austin...",private indulgence near downtown,https://www.airbnb.com/rooms/7351170?location=Brazos%20River%2C%20TX,November,2014,[78704]
371,135,1,5,Austin,14-Feb,"Enjoy an idyllic stay at our sustainable urban farm and guesthouse close to everything in Austin. Have the whole cottage to yourself, an organic garden and full kitchen at your your disposal, chickens, ducks, geese, rabbits and donkeys to entertain.",HausBar Farm Urban Farm GuestHaus,https://www.airbnb.com/rooms/2349236?location=Brazos%20River%2C%20TX,February,2014,[78702]
384,37,1,5,Austin,15-Aug,"Hey! I'm Jeff, and welcome to my home. It's a stylish, artful, and spacious one bedroom with a hallway bathroom (that's reserved for this and the other Airbnb room). Comfortable Queen-sized bed. I've been in Austin for 5 years, AMA!","Clean, Comfy & Stylish Room",https://www.airbnb.com/rooms/7726673?location=Brazos%20River%2C%20TX,August,2015,[78723]
385,75,1,5,Austin,13-Aug,"Renovated bus in central Austin back yard with interior wood paneling and all your creature comforts. Walking distance to lively Cherrywood neighborhood bars, restaurants, theaters and grocery. Direct bus to downtown or UT campus. STR Lic. (phone number hidden)",Backyard Land Yacht in Cherrywood,https://www.airbnb.com/rooms/7462609?location=Brazos%20River%2C%20TX,August,2013,[78722]
415,76,0,3,Austin,17-Mar,Minimal studio apartment located in South Austin. Right across street from bus stop. Minutes to Downtown.,South Austin Studio,https://www.airbnb.com/rooms/17698397?location=Buda%2C%20TX,March,2017,[78745]
417,59,1,5,Round Rock,14-Jun,"Lge 2-Story 5 BDR Corner Hse w/2 Car Garage, has 5 cozy, cool, comfortable, nicely furnished rms w/3 spacious Bathrooms; ABP, short-term, min. 2 days; fully equipped; kitchen has new gourmet stove, microwave &amp; oven.",Calm Blue BDR/Bath w/Parking Incl.,https://www.airbnb.com/rooms/11711064?location=Coupland%2C%20TX,June,2014,[78664]
419,450,5,6,Kyle,16-Feb,"The Twin Cabins are a Victorian style country hotel that is off the beaten path. The whole 2 cabins can accommodate up to 16 people. Each fully furnished cabin consist of a full kitchen, full bathroom &amp; living area. Total of 2 Bathrooms, 2 kitchens, 2 living rooms.",WHOLE 2.1 Cabins -Victorian Country Cabins,https://www.airbnb.com/rooms/18746803?location=Buda%2C%20TX,February,2016,[78640]
430,54,1,8,Austin,15-Dec,"My place is close to a creek, nature, shopping. You’ll love my place because of the comfy bed, big patio, quiet area, the great hiking trails. My place is good for couples, solo adventurers, and business travelers.\n\nI have a private bedroom with a queen bed and private access to a bathroom. I also have a pull out queen sized sofa very close to the guest bathroom.","Apartment in NW Hills, Arboretum, Capital of Texas",https://www.airbnb.com/rooms/12948242?location=Cedar%20Park%2C%20TX,December,2015,[78731]
435,59,1,4,Austin,14-Feb,"The Cherry Creek Private Retreat is your own personal corner of Austin's welcoming, natural zen space. A clean hotel-like ambiance with fun accents, a lush and peaceful outdoor sitting area, and a gorgeous slate rain shower set this luxurious private bed/bath apart. 15 minutes or less away from downtown, the airport, Town Lake, the greenbelt, and Barton Springs; just 30 minutes from Circuit of the Americas and the San Marcos Outlet Mall.",Cherry Creek Private Retreat,https://www.airbnb.com/rooms/15057821?location=Buda%2C%20TX,February,2014,[78745]
440,54,1,4,Austin,15-Sep,"Located minutes from downtown and walking distance to multiple bus lines. Private room with Bathroom Access. King Sized Tempurpedic Bed. Snacks, Pool, and Washer/Dryer. Ironing board (no iron) in unit. High Speed Wifi! No pets! No smoke!","Quiet Comfort, Convenient Location",https://www.airbnb.com/rooms/9077780?location=Cedar%20Park%2C%20TX,September,2015,[78731]
454,152,2,8,Austin,13-Oct,"Fantastic Newly Remodeled 2 bedroom duplex in Central Austin less than 10 minutes drive to all of the live music and events downtown. University of Texas campus 3 miles away. Circuit of the Americas F1 race track is 15 min away. Everything is Brand New and nothing was overlooked in this Mid Century Modern house. Quartz counter tops, travertine stone floors, new appliances, floor to ceiling vaulted windows, private courtyard and backyard. Quiet neighborhood with shopping and restaurants nearby.",MODERN SUPER TRENDY Central Austin 8 min Downtown,https://www.airbnb.com/rooms/14706958?location=Cedar%20Park%2C%20TX,October,2013,[78723]
472,180,3,5,Austin,16-Apr,"You will love my home - recently updated throughout to a high standard, located in a very convenient and central, neighborhood. Everything in the house is new, and is well equipped - stove/oven, fridge, microwave, dishwasher, coffee maker, toaster, kettle. Ceiling fans installed in all bedrooms with AC/heat, Wi/Fi internet, TV, Directv Now &amp; Netflix. The great deck &amp; backyard will make you feel right at home. My place is good for couples, solo &amp; business travelers, families (with kids) &amp; groups.",Awesome home near The Domain,https://www.airbnb.com/rooms/16584712?location=Coupland%2C%20TX,April,2016,[78758]
477,150,2,5,Austin,15-May,From this house you can get downtown in less than 15 minutes. The front yard is spacious and perfect for pets (no fence). There are two bedrooms each with king size beds. Stay in a beautiful neighborhood and enjoy the city.,Cozy 2 bedroom with deck,https://www.airbnb.com/rooms/17662778?location=Coupland%2C%20TX,May,2015,[78753]
495,99,1,8,Austin,13-Feb,"Peaceful lake retreat with modern &amp; vintage decor and an artistic touch. Walk to Lake Travis. Lounge &amp; dine on our shaded patio surrounded by trees. Full kitchen with everything needed to prepare a meal. Many nearby swimming, hiking, &amp; recreational activities in the area with a restaurant &amp; marina in the neighborhood. Records, books, TV, games for your enjoyment. Enjoy the peacefulness &amp; beauty of the hill country with only a 30 min drive to just about anything in Austin.",Serene mid-century lake house steps to Lake Travis,https://www.airbnb.com/rooms/18563602?location=Bee%20Cave%2C%20TX,February,2013,[78734]
502,30,1,4,Round Rock,14-Oct,"My place is close to activities and the airport. You’ll love my place because of the neighborhood, the outdoors space, and the kitchen. My place is good for business travelers. Whether you are here on contract, traveling nurse or for an extended vacation.",Comfy and Clean Paradise,https://www.airbnb.com/rooms/13968418?location=Coupland%2C%20TX,October,2014,[78665]
519,99,1,10,Cedar Park,15-Jul,"This apartment is: \n* Just outside NW Austin city limits in Cedar Park\n* Convenient to all things Austin\n* Minutes from Lake Travis\n* Located a few minutes from the Austin Metro Rail\n* In an area where Uber and Lyft are available! \n* Walking distance to local parks, restaurants and dining\n* Down the street from one of the area's largest malls\n* A popular place because of location \n* Good for couples, solo adventurers, and business travelers\n* FREE WIFI",Comfy NW Austin Suburb Apt near Metro Rail to Aus,https://www.airbnb.com/rooms/13153903?location=Cedar%20Park%2C%20TX,July,2015,[78613]
530,250,3,7,Kyle,16-Feb,"The Twin Cabins are a Victorian style country hotel that is off the beaten path. Each cabin can accommodate up to 7 people and 4 more in the additional loft included. Each fully furnished cabin consist of a full kitchen, full bathroom &amp; living area",D + LOFT - Victorian country Cabin,https://www.airbnb.com/rooms/18650682?location=Buda%2C%20TX,February,2016,[78640]
538,260,2,1,Austin,13-Jul,"Hi.New.Lovely country-house.Perfect long/short terms stays,great view,relaxing,2BR queen+2 SB queen on LR,alarm,TVcable,deck,full kitchen, W/D, ,towels,soap,water, GPS .Outside of Austin,on Del Valle,3.7miles to COTA,only 25min to Downtown.Thanks :)",2BRHouse/3.5Miles/F1-COTA/Short/LongTermRates/6pax,https://www.airbnb.com/rooms/1722387?location=Cedar%20Creek%2C%20TX,July,2013,[78617]
539,155,2,5,Austin,14-Aug,"Artisan remodeled home in best possible location in Austin. It's Only 200 yards from the river, as well as walking distance from all of Austin's best bars and entertainment. Cozy street on hike n bike trail is ideal for anyone wanting outdoor fun without having to deal with traffic/parking.",Beautiful eastside river area house,https://www.airbnb.com/rooms/5643631?location=Colorado%20River%2C%20TX,August,2014,[78702]
554,50,1,6,Round Rock,16-Feb,"IT'S EVERYTHING: 1 bedroom, bath, sitting room, balcony overlooking Bright Lake views &amp; walking trails, secluded garden &amp; direct access to Old Settler's Park . Walking distance to Dell Diamond &amp; shopping. Minutes to Historic DT entertainment.",Rooms with a View- Room one.,https://www.airbnb.com/rooms/11376077?location=Coupland%2C%20TX,February,2016,[78665]
566,37,1,6,Austin,15-May,"My house is close to Lakeline Mall, highways and the toll road, restaurants, grocery stores, hike and bike trails, parks, Lake Travis. You’ll love my home because of the quiet, safe neighborhood, the light, the really comfy king size bed, the sunny kitchen, the gardens, hammocks and hot tub.. My place is good for couples, solo adventurers, business travelers, and families (with kids). I also have 2 other rooms so if you need more beds please check out my other listings too.",Beautiful king bedroom in NW Austin,https://www.airbnb.com/rooms/15162593?location=Cedar%20Park%2C%20TX,May,2015,[78750]
567,41,1,6,Austin,15-Aug,"Hey! I'm Jeff, and welcome to my home. It's a spacious one bedroom with a hallway bathroom (that's reserved for this and the other Airbnb room). Comfortable King-sized bed. I've lived here in Austin for 6 years, AMA!","Clean, Comfy, King Room at Mueller",https://www.airbnb.com/rooms/7747487?location=Austin%2C%20TX,August,2015,[78723]
580,49,1,5,Austin,15-Dec,"Besides being great for one night, the bedroom and bathroom have storage to accommodate longer stays. It's the perfect set-up for someone new to the Austin who needs to explore housing and job options.",Arboretum-NW Austin Bed & Bath,https://www.airbnb.com/rooms/10233521?location=Cedar%20Park%2C%20TX,December,2015,[78759]
597,30,1,5,Austin,16-Sep,"Hey, my place is 10 miles to Circuit of the Americas, 8 miles to the Airport. Very quiet community. The house has two bedrooms. Each bedroom has a queen size bed. Private bathroom. The house has high-ceiling throughout and large living area with all furnished. The kitchen is fully equipped with attached washer and dryer. I offer guests a light breakfast, such as coffee, juice, rolls, butter and jam. My place is good for couples, solo adventurers, business travelers, and families.",Cozy Room with light breakfast,https://www.airbnb.com/rooms/15274260?location=Cedar%20Creek%2C%20TX,September,2016,[78725]
602,87,1,4,Austin,15-Jul,"Set in a quiet neighborhood in Central Austin, the charming, folk art-filled Casa Azul has everything you need for your relaxing getaway. Enjoy a private entrance, waking up to my chattering birds and coffee on one of the several outdoor patios.",Central Colorful Artist home,https://www.airbnb.com/rooms/7287162?location=Austin%2C%20TX,July,2015,[78756]
616,40,1,5,Austin,16-Apr,"My place is close to Dell Campus, The Domain, Walnut Creek Park, 15 miles from downtown. My place is good for solo adventurers. There are two bedrooms and loft upstairs, with the kitchen and living room downstairs. Second bedroom upstairs is available for 1 guest.\n\nHere is a youtube of a model, it has everything in this video except the fireplace. ",Bella Terra Condos- New Construction,https://www.airbnb.com/rooms/12291701?location=Coupland%2C%20TX,April,2016,[78753]
619,350,1,2,Austin,16-May,"Luxurious, ultra-private Cabana Oasis includes exclusive use of grand pool and patio. Perfect venue for most events, nestled on 10 acres only a short 15 minutes from downtown Austin, ABI Airport and COTA.",Cano Cabana,https://www.airbnb.com/rooms/13188368?location=Bastrop%20County%2C%20TX,May,2016,[78724]
636,45,1,5,Austin,17-Apr,"Quiet relax atmosphere just 10 minutes from downtown. 1 bed room 1 bath with washer dryer included,queen bed everything all white, balcony, 17ft tall ceilings, garden tub separate from shower. Privacy and quite neighbors, own desires parking spot. Pets welcome, gym open anytime with lap pool, tv outside and bar b q pit.",luxury apartment west of austin,https://www.airbnb.com/rooms/18449468?location=Bee%20Cave%2C%20TX,April,2017,[78735]
637,34,1,4,Austin,15-Oct,Quiet place close to Downtown Austin &amp; it's night life. Safe area close to plenty of food spots. Anywhere is within 10mins,Close to Downtown Austin,https://www.airbnb.com/rooms/11143671?location=Austin%2C%20TX,October,2015,[78741]
645,70,1,6,Austin,15-Mar,"My bedroom will be available while I am traveling this year. I own a 3 bedroom home in north east Austin and have renters in the other rooms. The master suite includes a large bedroom, attached bathroom, and huge closet. Very clean and quiet space. ",Master Suite in Nice Austin Home,https://www.airbnb.com/rooms/5625550?location=Bastrop%20County%2C%20TX,March,2015,[78754]
649,300,3,5,Austin,15-Aug,"3,000 sq ft home gives new meaning to the phrase ‘Home, sweet home.' Situated on a wooded cul-de-sac, underneath a canopy of sprawling mature oak trees, you'll find immeasurable charm, warmth, beauty &amp; tranquility. Enjoy the outdoor pool and spa!","Great location, close to downtown!",https://www.airbnb.com/rooms/7689965?location=Bee%20Cave%2C%20TX,August,2015,[78746]
661,70,1,6,Austin,11-Feb,"nice house. 4 baths\r\nupstairs bedroom\r\nvery clean and neat.\r\ngrocery is close, Randall's(Safeway) and HEB\r\nCome visit !!!!\r\n\r\n\r\nf1 raceway, music, the next place to Silicon Valley(Motorola, AMD, Freescale, cirrus logic, etc.)\r\n\r\nVA office. the biggest for veteran in the USA.\r\nUniversity of Texas- the biggest college in the USA.\r\n\r\nyou have to to see Austin !!!!!!!!!!!!\r\n\r\n\r\nbus, train, handicap people on the bus.\r\nlimousines. \r\n Willy nelson, Sandra bullock, Micheal Dell, good musician and actors, etc all from Austin!!!! \r\n\n\nI am close to downtown. \nClose to university of Texas, buses, train and greyhound. \nLot of bands and racing. \nAustin ",Close to everything !! Good music!!,https://www.airbnb.com/rooms/73898?location=Bee%20Cave%2C%20TX,February,2011,[78749]
668,135,2,4,Kyle,17-Mar,"My place is good for couples, solo adventurers, business travelers, and families (with kids).","Recently built, comfy place.",https://www.airbnb.com/rooms/17712236?location=Buda%2C%20TX,March,2017,[78640]
672,1495,7,3,Austin,16-Aug,"Welcome to the Travis Lakeview Villa, a premier Austin destination vacation rental. We are committed to providing you and your guests a four-star experience in one of the best homes on Lake Travis.\n\nMy place is close to Lake Travis. You’ll love my place because of Proximity to the lake as well as the view of the lake., the coziness of the home and the location. My place is good for couples, business travelers, families (with kids) and big groups.",Travis Lakeview Villa,https://www.airbnb.com/rooms/14683187?location=Bee%20Cave%2C%20TX,August,2016,[78734]
673,400,5,5,Austin,11-Aug,"Beautiful 4,500 square foot West Lake home that is perfect for entertaining, and just 10 minutes to Zilker or 15 to downtown. Includes a media room, jacuzzi, outdoor terraces, seating and grill, and scenic wooded views.",West Lake Estate Near Downtown,https://www.airbnb.com/rooms/10540208?location=Bee%20Cave%2C%20TX,August,2011,[78746]
678,69,1,5,Austin,14-Mar,"A large bedroom in a grant manor house in the beautiful neighborhood in West Lake Hills. Breathtaking view and 15 min drive to downtown Austin! Private bathroom &amp; shower, walk in closet, a full sized bed, a night stand, a chair, and a secretary. Long-term stay (more than 30 days).",Large private bedroom in Westlake,https://www.airbnb.com/rooms/2512464?location=Bee%20Cave%2C%20TX,March,2014,[78746]
683,119,0,4,Austin,14-May,"Location, location, location! Walk or bike to everything in central Austin: Downtown, 6th St, the University of Texas, the Capitol, and so much more! Our music-lovers' retreat is in the heart of the trendy eastside, just 1-2 blocks from great restaurants and bars in a vibrant neighborhood with tons of activity. The inside space is cozy, but has big personality, and a private deck provides outdoor living space. Great for couples, solo adventurers, or business travelers. Parking spot included!",Rock 'n Roll Central,https://www.airbnb.com/rooms/14126411?location=Austin%2C%20TX,May,2014,[78702]
696,40,1,3,Austin,16-Oct,"My place is close to The Domain &amp; The Arboretum, 15m from Round Rock, 20m from the heart of Austin, the famous Kerby Lane, Torchies Tacos, and great views. You’ll love my place because of the beautiful sunrise every morning. You'll enjoy the view, the comfy bed, the at-home feeling, huge kitchen, great lighting, high ceilings, tall windows, and it's artistic style! My place is good for couples, solo adventurers, business travelers, families (with kids), small groups, and furry friends (pets).",8100 Elephant Place,https://www.airbnb.com/rooms/17462117?location=Cedar%20Park%2C%20TX,October,2016,[78729]
712,34,1,5,Pflugerville,13-Oct,"Beautiful Queen bed. Built in vanity, washroom attached. Help your self to the tea tray and other amenities located inside the room and around the house. Enjoy!",Comfortable Home - Serene Bedroom,https://www.airbnb.com/rooms/19545983?location=Coupland%2C%20TX,October,2013,[78660]
